ialx566343618,37,4.9,2022-03-19,11:30:00,Urban ,Clothing
akqg208421122,34,4.5,2022-03-25,19:45:00,Metropolitian ,Electronics
njpu434582536,23,4.4,2022-03-19,08:30:00,Urban ,Sports
rjto796129700,38,4.7,2022-04-05,18:00:00,Metropolitian ,Cosmetics
zguw716275638,32,4.6,2022-03-26,13:30:00,Metropolitian ,Toys
fxuu788413734,22,4.8,2022-03-11,21:20:00,Urban ,Toys
njmo150975311,33,4.7,2022-03-04,19:15:00,Metropolitian ,Toys
jvjc772545076,35,4.6,2022-03-14,17:25:00,Metropolitian ,Snacks
uaeb808891380,22,4.8,2022-03-20,20:55:00,Metropolitian ,Electronics
bgvc052754213,36,4.2,2022-02-12,21:55:00,Metropolitian ,Toys
vmau710398846,21,4.7,2022-02-13,14:55:00,Metropolitian ,Cosmetics
lcwn330553507,23,4.7,2022-03-04,17:30:00,Metropolitian ,Shoes
wcjs752046999,34,4.3,2022-02-13,09:20:00,Metropolitian ,Apparel
blhl288691670,24,4.7,2022-02-14,19:50:00,Metropolitian ,Jewelry
zyvo118176215,29,4.5,2022-04-02,20:25:00,Metropolitian ,Outdoors
uhfs888375680,35,4.0,2022-03-01,14:55:00,Metropolitian ,Grocery
vmfv999642595,33,4.2,2022-03-16,20:30:00,Metropolitian ,Cosmetics
qfgc848777135,34,4.9,2022-03-20,20:40:00,Metropolitian ,Snacks
vwmc439983136,21,4.7,2022-02-15,21:15:00,Urban ,Jewelry
ntzy027061451,25,4.1,2022-03-16,20:20:00,Metropolitian ,Toys
pbjm971961647,31,4.7,2022-03-10,22:30:00,Metropolitian ,Books
kjic578711491,37,5.0,2022-03-11,08:15:00,Metropolitian ,Clothing
rkzt648036688,33,4.3,2022-03-27,19:30:00,Metropolitian ,Snacks
segh259958026,25,4.0,2022-03-26,12:25:00,Metropolitian ,Jewelry
owvs520891091,29,4.5,2022-03-27,18:35:00,Metropolitian ,Outdoors
edrh271340988,27,5.0,2022-04-05,20:35:00,Urban ,Cosmetics
qvfd540651807,35,4.3,2022-03-12,23:20:00,Metropolitian ,Electronics
gzfn634029300,32,4.0,2022-03-16,21:20:00,Metropolitian ,Cosmetics
xjps180812498,23,4.8,2022-04-02,23:35:00,Urban ,Jewelry
ahpg083217029,31,4.8,2022-04-01,22:35:00,Metropolitian ,Jewelry
itii428784576,36,4.1,2022-03-05,22:35:00,Urban ,Cosmetics
asis944862845,26,4.3,2022-02-11,23:25:00,Urban ,Jewelry
xzkg140273315,38,4.9,2022-02-11,13:35:00,Urban ,Shoes
zotl583816092,32,3.5,2022-03-08,21:35:00,Urban ,Grocery
agoo012263585,32,4.6,2022-04-02,22:35:00,Metropolitian ,Sports
ezif478391605,33,4.9,2022-03-08,18:55:00,Metropolitian ,Jewelry
tixw400453550,20,4.7,2022-04-03,14:15:00,Urban ,Toys
mrfx777445506,20,4.8,2022-03-30,11:00:00,Metropolitian ,Kitchen
czjt755903822,35,5.0,2022-04-01,09:45:00,Urban ,Clothing
zqtj827550147,26,4.9,2022-03-28,08:40:00,Metropolitian ,Kitchen
luka250567007,22,4.8,2022-03-18,23:00:00,Metropolitian ,Books
zkat983341391,35,4.3,2022-03-14,17:25:00,Metropolitian ,Grocery
ydhu273019158,37,4.7,2022-04-04,19:45:00,Metropolitian ,Clothing
rpuq263118672,28,4.6,2022-03-08,19:10:00,Metropolitian ,Cosmetics
nvck471535045,37,4.9,2022-02-13,10:55:00,Urban ,Grocery
rxgx102974679,23,4.9,2022-03-24,21:40:00,Metropolitian ,Apparel
ikas794013321,27,4.9,2022-03-19,19:00:00,Metropolitian ,Snacks
dsyl658069912,37,4.8,2022-03-09,16:45:00,Urban ,Jewelry
wzoc344425774,33,5.0,2022-03-19,11:30:00,Metropolitian ,Shoes
dwnh519656346,31,4.9,2022-04-03,15:10:00,Metropolitian ,Books
yakw330215137,31,4.8,2022-03-25,22:45:00,Metropolitian ,Cosmetics
dcdm719150402,25,5.0,2022-02-13,22:10:00,Metropolitian ,Home
fris321432357,28,4.8,2022-04-04,20:45:00,Metropolitian ,Kitchen
mxuw713526914,31,4.7,2022-03-26,22:50:00,Metropolitian ,Clothing
carl449634661,24,4.7,2022-03-10,17:55:00,Urban ,Snacks
msnw786727644,39,4.6,2022-02-14,22:45:00,Metropolitian ,Jewelry
bbow373480117,39,4.2,2022-03-02,20:35:00,Semi-Urban ,Apparel
vizd072469706,32,4.5,2022-03-26,09:25:00,Other,Shoes
etss702593505,36,4.7,2022-03-13,20:15:00,Metropolitian ,Sports
rxxx129114996,25,4.8,2022-03-29,22:25:00,Urban ,Cosmetics
bull762076829,33,4.9,2022-03-30,21:55:00,Metropolitian ,Books
fpkv432118410,30,4.4,2022-03-12,22:40:00,Metropolitian ,Shoes
udpq945815554,33,5.0,2022-03-31,23:50:00,Urban ,Jewelry
qeqp930384577,36,4.9,2022-03-17,15:25:00,Metropolitian ,Pet Supplies
cwvq091479872,21,4.8,2022-02-15,10:20:00,Metropolitian ,Shoes
ivtf765857546,39,4.9,2022-02-15,20:55:00,Metropolitian ,Skincare
emlt327861941,23,4.8,2022-03-07,10:40:00,Metropolitian ,Grocery
rufz727804632,35,4.8,2022-03-28,15:55:00,Urban ,Apparel
gkrb550339468,39,4.6,2022-03-16,20:10:00,Metropolitian ,Home
tsec016509855,22,4.7,2022-03-17,12:10:00,Urban ,Sports
xczs106918282,32,4.6,2022-03-15,15:30:00,Metropolitian ,Outdoors
lgee738117860,24,4.8,2022-03-25,22:10:00,Urban ,Apparel
nxfs257449148,29,4.7,2022-03-09,10:35:00,Metropolitian ,Books
wycd588946822,26,4.7,2022-03-05,23:50:00,Metropolitian ,Shoes
bhdi726355812,20,4.5,2022-02-11,21:10:00,Metropolitian ,Sports
wnbv620439671,35,4.1,2022-03-12,20:25:00,Metropolitian ,Pet Supplies
jvco758418006,39,4.6,2022-03-29,20:50:00,Metropolitian ,Electronics
zkks967394571,34,4.7,2022-03-19,12:35:00,Metropolitian ,Snacks
oiyh656906407,27,4.7,2022-03-10,21:00:00,Metropolitian ,Apparel
dfit633531471,30,4.8,2022-02-16,23:40:00,Metropolitian ,Sports
qhxw976953297,25,4.4,2022-03-27,18:15:00,Metropolitian ,Jewelry
mryb985330207,25,4.7,2022-03-27,18:20:00,Urban ,Electronics
jzam829230168,30,5.0,2022-03-24,11:45:00,Metropolitian ,Kitchen
xnod694467359,24,4.6,2022-03-09,20:45:00,Metropolitian ,Home
hcno407153953,39,4.8,2022-03-03,21:55:00,Metropolitian ,Home
gyjc869072111,25,4.8,2022-02-15,12:45:00,Urban ,Snacks
wkqq813752515,37,4.6,2022-02-18,23:30:00,Urban ,Kitchen
vdfj488526028,24,5.0,2022-03-01,10:50:00,Metropolitian ,Electronics
pngq326709686,25,4.2,2022-03-23,21:25:00,Metropolitian ,Cosmetics
caja224507886,32,4.6,2022-04-01,10:10:00,Metropolitian ,Outdoors
hnme204254454,34,4.7,2022-02-16,23:00:00,Metropolitian ,Clothing
uehx759760979,38,4.9,2022-03-11,08:40:00,Urban ,Books
sdod930462581,36,4.8,2022-03-14,17:50:00,Metropolitian ,Home
visy471360404,25,5.0,2022-03-18,20:25:00,Metropolitian ,Electronics
wddq796276216,29,5.0,2022-04-01,22:20:00,Metropolitian ,Outdoors
pqya338067587,36,4.7,2022-04-04,23:40:00,Metropolitian ,Clothing
last796029882,33,4.7,2022-03-11,23:25:00,Metropolitian ,Snacks
mzyt873581742,36,4.4,2022-03-13,12:40:00,Metropolitian ,Skincare
kbhb286226770,21,4.8,2022-03-04,23:30:00,Metropolitian ,Sports
okvp821614347,25,4.8,2022-03-26,23:55:00,Urban ,Grocery
oska955853002,23,4.8,2022-03-16,22:50:00,Metropolitian ,Electronics
rgwl479077727,25,4.6,2022-03-01,10:25:00,Urban ,Books
tmzv371880726,24,4.3,2022-03-15,08:45:00,Urban ,Apparel
ofxt601212694,27,4.6,2022-03-04,21:25:00,Metropolitian ,Apparel
lbui872023073,23,4.8,2022-03-18,22:35:00,Urban ,Jewelry
ixfk439251990,21,4.3,2022-03-23,20:10:00,Metropolitian ,Books
njfz936670348,27,4.7,2022-03-15,10:55:00,Urban ,Sports
drir663128253,32,4.2,2022-03-08,20:35:00,Metropolitian ,Skincare
drdr957134932,25,4.6,2022-03-10,23:20:00,Metropolitian ,Outdoors
qrzj427928057,39,4.7,2022-02-11,10:35:00,Metropolitian ,Books
hkit681446136,27,4.6,2022-03-14,23:45:00,Metropolitian ,Shoes
imnm972342448,39,3.8,2022-03-16,19:55:00,Metropolitian ,Books
wnne890905509,31,4.8,2022-03-01,22:15:00,Metropolitian ,Sports
kbdc711046313,31,4.8,2022-03-01,23:10:00,Metropolitian ,Kitchen
alem833315854,20,4.8,2022-03-30,09:15:00,Other,Sports
khjm619520065,36,4.9,2022-03-02,18:25:00,Urban ,Cosmetics
oiay843077855,20,4.9,2022-03-20,22:10:00,Metropolitian ,Toys
ohhc448549441,24,4.6,2022-04-03,20:50:00,Metropolitian ,Jewelry
knul324217390,39,4.2,2022-03-29,18:45:00,Metropolitian ,Clothing
buux572471968,37,4.8,2022-03-17,14:55:00,Metropolitian ,Shoes
ieue797662723,32,4.9,2022-03-17,16:50:00,Metropolitian ,Books
eztk468187811,22,4.5,2022-02-15,22:20:00,Metropolitian ,Skincare
zzid436960558,23,4.9,2022-03-18,00:00:00,Metropolitian ,Clothing
kllk327072475,33,4.7,2022-03-08,21:10:00,Metropolitian ,Apparel
ubwl989345056,27,4.6,2022-03-31,23:30:00,Metropolitian ,Pet Supplies
iimu721647260,34,4.7,2022-03-01,14:20:00,Metropolitian ,Toys
tfxz025621580,26,5.0,2022-04-03,10:15:00,Urban ,Sports
kgjb145446786,31,4.6,2022-03-24,21:20:00,Metropolitian ,Snacks
xrxy085440961,32,4.9,2022-03-07,08:50:00,Metropolitian ,Books
pnzt689957903,27,4.7,2022-03-09,09:00:00,Metropolitian ,Shoes
qrng205617369,21,4.9,2022-03-12,17:45:00,Metropolitian ,Pet Supplies
gycd207308146,28,4.8,2022-03-24,23:10:00,Metropolitian ,Kitchen
wqfy256790455,24,4.9,2022-03-30,16:35:00,Urban ,Toys
vgjr167867003,33,4.4,2022-03-05,08:30:00,Metropolitian ,Electronics
jqco336937571,20,4.6,2022-03-18,20:35:00,Metropolitian ,Home
iwkp065421476,31,4.3,2022-03-13,23:25:00,Metropolitian ,Toys
nwvu459529234,36,5.0,2022-03-31,19:55:00,Metropolitian ,Shoes
jjcl090851660,31,4.2,2022-03-23,21:20:00,Metropolitian ,Grocery
bpbi053158546,39,4.1,2022-03-24,21:45:00,Metropolitian ,Electronics
ksec432319879,29,4.6,2022-03-12,19:40:00,Metropolitian ,Outdoors
rszv454658332,29,4.6,2022-03-03,14:50:00,Urban ,Apparel
cdyc438548517,37,4.9,2022-03-09,18:10:00,Metropolitian ,Books
xoka811702118,33,4.7,2022-03-17,12:20:00,Urban ,Skincare
nyum131271823,31,3.9,2022-03-18,23:40:00,Metropolitian ,Pet Supplies
iwoy649851528,37,4.6,2022-03-19,12:50:00,Urban ,Outdoors
lhus187289759,26,4.4,2022-03-07,23:20:00,Other,Toys
szbb646301545,24,4.6,2022-03-04,17:50:00,Metropolitian ,Clothing
bwgn919229310,23,4.8,2022-04-03,10:25:00,Metropolitian ,Pet Supplies
pdxn136638766,36,4.9,2022-03-11,09:10:00,Metropolitian ,Electronics
zzsx562940707,39,4.8,2022-04-01,12:30:00,Metropolitian ,Cosmetics
gyvm380029078,20,4.7,2022-03-20,17:10:00,Metropolitian ,Toys
umwc109456087,20,5.0,2022-03-31,19:15:00,Urban ,Sports
dsbe906886027,29,4.3,2022-02-13,23:50:00,Metropolitian ,Cosmetics
xnzb532907287,36,4.8,2022-03-29,18:45:00,Urban ,Snacks
ltrp525870768,36,4.0,2022-03-16,20:40:00,Metropolitian ,Skincare
rbzk606295253,22,4.8,2022-03-14,22:10:00,Metropolitian ,Cosmetics
ltoi660207512,38,4.4,2022-03-31,17:20:00,Metropolitian ,Toys
pkhq469939766,39,4.9,2022-03-17,19:55:00,Metropolitian ,Cosmetics
jgbc287273591,24,4.9,2022-03-28,18:15:00,Metropolitian ,Outdoors
xzzw562394658,30,4.1,2022-04-04,23:50:00,Metropolitian ,Sports
gjwc226881646,35,4.8,2022-03-04,17:25:00,Metropolitian ,Jewelry
lrbb564302256,33,4.5,2022-03-04,23:45:00,Metropolitian ,Shoes
fkyd365052251,39,4.7,2022-02-14,18:30:00,Urban ,Cosmetics
wciq107093545,31,4.3,2022-03-25,21:35:00,Metropolitian ,Outdoors
edxx482704762,37,4.5,2022-03-17,08:40:00,Metropolitian ,Books
jxsj508533395,37,4.7,2022-04-01,22:35:00,Metropolitian ,Grocery
xlta607070306,33,5.0,2022-03-19,11:45:00,Metropolitian ,Sports
lubd358643567,24,4.6,2022-03-07,23:25:00,Urban ,Grocery
ycwb227184501,33,4.5,2022-03-02,19:10:00,Metropolitian ,Kitchen
mikp615052003,39,4.7,2022-02-16,18:45:00,Metropolitian ,Electronics
djrw974238657,37,4.6,2022-03-29,18:15:00,Metropolitian ,Outdoors
rxki994339301,25,4.9,2022-03-07,22:30:00,Metropolitian ,Jewelry
wfjy432968933,28,4.8,2022-03-03,19:00:00,Urban ,Books
opdl820466364,38,4.7,2022-03-30,13:10:00,Metropolitian ,Cosmetics
wbpn330130607,31,4.6,2022-03-19,17:55:00,Metropolitian ,Skincare
jtsd466670552,25,4.8,2022-03-15,19:50:00,Metropolitian ,Jewelry
enww399699472,35,4.9,2022-03-02,21:15:00,Metropolitian ,Skincare
rvns240114667,39,4.7,2022-03-31,19:35:00,Metropolitian ,Home
fvko144254933,38,3.9,2022-03-06,19:10:00,Metropolitian ,Kitchen
jocn049365284,35,4.7,2022-03-21,21:20:00,Metropolitian ,Snacks
atgc248887447,29,4.7,2022-03-01,09:50:00,Metropolitian ,Sports
jexa898688264,27,4.6,2022-03-24,20:35:00,Metropolitian ,Pet Supplies
cmvs014428179,38,4.3,2022-04-04,21:15:00,Semi-Urban ,Clothing
ntme294239634,36,4.9,2022-03-02,23:00:00,Metropolitian ,Electronics
tryr235168039,26,4.0,2022-04-01,15:00:00,Metropolitian ,Snacks
cpya420089193,26,4.1,2022-02-12,19:45:00,Metropolitian ,Pet Supplies
opvd660426426,36,4.9,2022-04-05,17:45:00,Metropolitian ,Cosmetics
ecar963502319,21,4.7,2022-03-03,09:00:00,Metropolitian ,Electronics
