49051,408-4858463-2356347,05-31-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,J0385-KR-M,kurta,M,B09YYNG98D,1,INR,888.0
49077,402-7697834-2682766,05-31-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,JNE3654-TP-XXL,Top,XXL,B09B3GWVJ9,1,INR,371.0
49081,402-7031777-0396341,05-31-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,JNE3798-KR-XS,Western Dress,XS,B09SDY7MHD,1,INR,771.0
49082,408-1235521-4337163,05-31-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,J0152-DR-L,Western Dress,L,B08V197XLZ,1,INR,0.0
49083,403-3845187-4421165,05-31-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,J0157-DR-XL,Western Dress,XL,B098316HXL,1,INR,690.0
49086,171-1835528-9515557,05-31-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,J0341-DR-L,Western Dress,L,B099NRCT7B,1,INR,885.0
49090,407-3443436-4510708,05-31-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,JNE3800-KR-M,Western Dress,M,B09SDXQ3X9,1,INR,771.0
49092,408-0730692-6026747,05-31-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,SET398-KR-PP-XXXL,Set,3XL,B09RPJD74Z,1,INR,1186.0
49093,407-3165269-1194731,05-31-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,JNE3869-DR-M,Western Dress,M,B09RK7Q644,1,INR,721.0
49100,171-2320443-6127563,05-31-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,JNE3800-KR-A-L,Western Dress,L,B09TH43NW5,1,INR,771.0
49104,402-3890557-2185149,05-31-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,SET355-KR-PP-XXXL,Set,3XL,B09RKFCS6D,1,INR,1229.0
49111,407-8148061-4084353,05-31-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,JNE3800-KR-XXL,Western Dress,XXL,B09SDYNZQ5,1,INR,771.0
49115,404-5160267-7056315,05-31-22,Shipped - Returned to Seller,Merchant,Amazon.in,JNE3904-DR-XXXL,Western Dress,3XL,B09Y27F7WY,1,INR,599.0
49120,405-7578712-9960320,05-31-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,SET183-KR-DH-M,Set,M,B08B3Z2YY3,1,INR,759.0
